period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011140,1,3,5,12,27,29,31,34,37,39,42,45,46,47,50,61,65,71,72,73
115011141,1,6,8,9,10,11,14,15,16,18,20,25,32,38,44,49,62,65,66,71
115011142,1,3,4,10,11,17,20,22,25,32,33,38,39,61,63,66,67,74,75,78
115011143,3,4,7,8,17,18,22,30,35,37,38,42,54,58,60,63,64,68,70,80
115011144,5,8,11,13,14,15,18,19,23,25,30,39,40,46,47,52,57,61,69,75
115011145,1,3,4,8,9,11,13,16,17,19,23,27,51,54,56,57,63,65,76,79
115011146,9,11,14,24,27,28,31,32,35,42,44,45,46,48,56,60,65,66,67,75
115011147,1,2,13,15,17,22,24,27,28,31,35,36,54,60,61,63,69,72,76,78
115011148,1,5,8,12,25,29,30,37,41,47,48,49,52,53,64,65,68,73,76,80
115011149,1,3,6,13,22,23,25,27,32,35,39,41,43,54,55,56,58,59,64,69
115011150,1,4,9,16,21,28,32,36,38,39,41,44,48,53,59,68,70,78,79,80
115011151,2,5,6,7,10,16,17,20,22,24,28,29,32,46,52,55,56,65,72,73
115011152,3,4,5,8,17,19,20,23,24,27,32,40,42,47,52,53,69,73,74,79
115011153,4,5,14,19,20,24,30,35,38,45,47,48,55,61,63,65,66,71,75,80
115011154,2,3,7,13,15,20,28,29,31,32,33,37,50,53,55,63,64,69,75,76
115011155,8,10,13,15,18,20,22,28,31,39,40,42,46,49,51,52,62,68,69,79
115011156,5,10,13,16,17,34,35,36,42,43,49,52,53,59,66,68,72,75,76,77
115011157,6,14,18,20,21,23,28,30,32,46,49,54,57,59,62,67,72,75,77,78
115011158,1,6,7,17,18,19,21,31,48,50,51,54,55,60,64,66,69,72,79,80
115011159,3,4,24,25,29,32,36,42,44,45,50,53,54,64,65,66,69,71,77,78
115011160,2,3,5,6,7,12,27,31,32,33,34,37,39,51,52,65,66,67,70,74
115011161,3,4,5,7,20,22,29,44,47,50,51,52,53,54,59,62,63,71,74,80
115011162,2,4,7,9,19,23,27,32,44,49,51,56,57,61,62,64,65,66,78,79
115011163,5,9,11,12,14,15,19,21,25,26,31,32,38,46,48,62,63,71,74,80
115011164,5,7,9,11,14,20,21,32,37,38,40,46,47,54,60,61,62,68,71,80
115011165,5,7,9,11,14,20,21,32,37,38,40,46,47,54,60,61,62,68,71,80
115011166,2,3,8,11,13,21,29,34,35,37,42,48,49,52,53,57,58,69,70,72
115011167,1,2,6,14,16,24,28,30,32,38,40,47,53,54,57,65,70,71,74,77
115011168,4,6,7,8,10,11,12,21,26,31,33,39,46,59,60,61,64,67,69,71
115011169,5,8,9,18,19,20,21,23,27,34,37,38,41,48,57,59,64,65,75,80
115011170,7,8,10,12,13,17,19,23,24,36,39,40,41,53,58,60,63,64,75,78
115011171,3,4,6,7,8,12,14,17,18,19,20,27,28,38,41,44,59,70,75,77
115011172,3,6,7,9,10,13,15,20,23,27,32,33,34,38,40,50,59,67,77,80
115011173,2,5,7,8,10,13,18,22,23,28,32,38,43,49,51,59,60,68,76,80
115011174,4,7,8,10,13,17,23,26,35,40,41,43,51,52,62,66,67,69,72,77
115011175,1,4,5,9,13,24,25,27,30,31,35,36,37,39,59,61,63,67,74,80
115011176,5,9,15,16,24,27,28,31,33,34,44,49,51,54,56,58,65,72,75,78
115011177,2,5,7,9,13,15,18,22,31,32,35,36,40,42,46,56,59,68,72,76
115011178,2,4,7,10,13,19,27,30,35,39,41,48,50,51,53,55,74,75,78,80
115011179,1,5,7,8,14,15,16,21,22,23,28,37,47,55,60,61,63,64,66,68
115011180,1,3,6,7,8,9,13,18,19,23,31,35,38,41,45,53,54,55,71,74
115011181,1,2,7,8,14,26,31,36,37,38,44,46,47,48,53,56,61,68,70,75
115011182,1,4,5,6,14,17,18,22,38,40,46,48,49,50,57,60,61,64,66,74
115011183,2,6,12,14,19,22,25,31,34,36,45,46,49,50,52,56,57,58,77,80
115011184,5,10,13,15,16,17,27,32,41,43,47,50,62,64,65,66,71,72,73,75
115011185,5,6,7,8,10,15,16,19,21,27,33,36,44,46,51,53,59,60,66,68
115011186,4,7,11,12,13,20,21,25,29,32,48,49,51,52,53,58,66,67,68,69
115011187,1,5,10,12,19,23,27,29,51,53,54,55,57,61,70,72,75,76,77,79
115011188,4,5,10,12,14,19,23,30,34,38,46,50,57,58,60,61,72,73,74,79
115011189,2,4,5,8,10,13,24,27,28,29,37,44,49,55,60,65,69,70,74,75
